City,Country,lat,lon,Temp,Temp_Min,Temp_Max,Humidity,Cloud,Wind_Speed
souillac,mu,-20.52,57.52,78.8,78.8,78.8,88,75,13.87
pathalgaon,in,22.56,83.46,37,37,37,71,0,4.16
haines junction,ca,60.75,-137.51,11.12,11.12,11.12,84,24,2.26
narsaq,gl,60.91,-46.05,1.4,1.4,1.4,54,48,6.93
mar del plata,ar,-46.43,-67.52,75.29,75.29,75.29,39,12,19.93
vila franca do campo,pt,37.72,-25.43,57.2,57.2,57.2,82,75,5.82
ponta do sol,cv,17.2,-25.09,70.07,70.07,70.07,100,20,22.06
fort nelson,ca,58.81,-122.69,21.2,21.2,21.2,92,90,3.36
tuatapere,nz,-46.13,167.69,66.83,66.83,66.83,83,56,2.48
qaanaaq,gl,77.48,-69.36,-3.51,-3.51,-3.51,87,0,3.71
sitka,us,37.17,-99.65,43.7,43.7,43.7,41,0,6.17
marawi,sd,18.48,31.82,53.37,53.37,53.37,58,0,10.42
iquique,cl,-20.22,-70.14,71.6,71.6,71.6,60,0,16.11
umarkot,in,19.67,82.22,45.1,45.1,45.1,78,0,2.71
grindavik,is,63.84,-22.43,21.2,21.2,21.2,67,0,9.17
ilulissat,gl,69.22,-51.1,3.2,3.2,3.2,45,20,8.05
cabo san lucas,mx,22.89,-109.91,75.2,75.2,75.2,44,5,8.05
bubaque,gw,11.28,-15.83,73.4,73.4,73.4,38,0,8.05
chokurdakh,ru,70.62,147.9,-19.31,-19.31,-19.31,56,68,23.29
upernavik,gl,72.79,-56.15,2.61,2.61,2.61,100,12,8.97
new norfolk,au,-42.78,147.06,87.8,87.8,87.8,15,0,13.87
porbandar,in,21.64,69.61,63,63,63,85,0,5.17
east london,za,-33.02,27.91,75.47,75.47,75.47,96,24,17.69
jamestown,sh,-15.94,-5.72,70.88,70.88,70.88,100,92,14.45
katsuura,jp,33.93,134.5,37.4,37.4,37.4,100,75,9.17
kajaani,fi,64.22,27.73,15.8,15.8,15.8,78,90,6.93
tura,ru,64.27,100.22,-42.66,-42.66,-42.66,0,24,2.37
coahuayana,mx,18.62,-100.35,72.95,72.95,72.95,35,8,2.15
saldanha,za,-33.01,17.94,66.2,66.2,66.2,77,0,8.05
semiletka,ru,55.36,54.62,4.1,4.1,4.1,80,68,3.49
faanui,pf,-16.48,-151.75,82.58,82.58,82.58,100,44,20.71
stornoway,gb,58.21,-6.39,33.8,33.8,33.8,97,56,8.05
nivala,fi,63.93,24.96,14.63,14.63,14.63,82,64,5.39
nabire,id,-3.36,135.5,74.12,74.12,74.12,88,32,0.47
kushiro,jp,43.11,144.15,24.8,24.8,24.8,92,40,4.7
puerto ayora,ec,-0.74,-90.35,82.4,82.4,82.4,65,75,17.22
palmer,us,61.6,-149.11,28.4,26.6,30.2,86,1,3.38
calama,cl,-22.46,-68.93,75.2,75.2,75.2,17,0,28.86
luena,ao,-11.78,19.91,63.91,63.91,63.91,100,92,1.7
ribeira grande,pt,38.52,-28.7,60.8,60.8,60.8,82,75,3.36
nelson bay,au,-32.72,152.14,69.8,69.8,69.8,73,20,5.82
ust-barguzin,ru,53.41,109.03,-18.54,-18.54,-18.54,50,20,4.38
carnarvon,au,-24.87,113.63,79.79,79.79,79.79,88,0,17.25
petropavlovsk-kamchatskiy,ru,53.05,158.65,-2.21,-2.21,-2.21,58,0,8.95
isetskoye,ru,56.49,65.32,-1.93,-1.93,-1.93,84,64,3.15
kodiak,us,39.95,-94.76,37.4,37.4,37.4,59,1,11.41
alice springs,au,-23.7,133.88,84.2,84.2,84.2,48,68,6.93
arlit,ne,18.74,7.39,55.62,55.62,55.62,55,0,4.83
comodoro rivadavia,ar,-45.87,-67.48,75.2,75.2,75.2,38,0,24.16
guanare,ve,9.04,-69.74,76.19,76.19,76.19,81,20,2.93
saint-pierre,pm,46.77,-56.17,33.8,33.8,33.8,100,75,13.87
conakry,gn,9.52,-13.7,80.6,80.6,80.6,61,0,4.7
mucuri,br,-18.08,-39.55,77.63,77.63,77.63,87,0,9.98
arraial do cabo,br,-22.97,-42.02,82.4,82.4,82.4,65,0,12.75
tazovskiy,ru,67.47,78.7,-46.71,-46.71,-46.71,0,0,3.04
bethel,us,60.79,-161.76,14,14,14,92,90,10.29
allanridge,za,-27.75,26.64,68.72,68.72,68.72,64,64,10.2
port alfred,za,-33.59,26.89,74.07,74.07,74.07,90,12,11.21
tuktoyaktuk,ca,69.44,-133.03,17.6,17.6,17.6,92,90,4.7
windhoek,na,-22.57,17.08,75.2,75.2,75.2,41,80,5.82
tomatlan,mx,19.93,-105.25,78.75,78.75,78.75,48,0,3.15
norman wells,ca,65.28,-126.83,10.4,10.4,10.4,85,75,6.93
trelew,ar,-43.25,-65.31,81.91,81.91,81.91,25,44,16.46
turukhansk,ru,65.8,87.96,-53.87,-53.87,-53.87,0,8,3.15
copiapo,cl,-27.37,-70.33,68,68,68,64,75,12.75
amurzet,ru,47.7,131.1,-13.18,-13.18,-13.18,40,44,2.37
pisco,pe,-13.71,-76.2,73.4,73.4,73.4,73,0,12.75
cidreira,br,-30.17,-50.22,72.27,72.27,72.27,90,80,15.79
iznoski,ru,54.99,35.31,30.29,30.29,30.29,92,92,16.69
vestmannaeyjar,is,63.44,-20.27,22.64,22.64,22.64,100,0,9.64
namibe,ao,-15.19,12.15,73.26,73.26,73.26,100,76,3.83
geraldton,au,-28.77,114.6,62.6,62.6,62.6,100,0,10.29
bahia blanca,ar,-38.72,-62.27,76.06,76.06,76.06,59,0,10.2
elko,us,40.83,-115.76,48.2,48.2,48.2,49,1,3.36
jabinyanah,tn,35.03,10.91,46.4,46.4,46.4,75,0,6.06
boa vista,br,2.82,-60.67,86,86,86,55,75,10.29
neuquen,ar,-38.95,-68.06,89.6,89.6,89.6,24,0,8.05
mehamn,no,71.03,27.85,23.61,23,24.8,73,0,13.87
bay roberts,ca,47.58,-53.28,37.4,37.4,37.4,93,75,23.04
batagay-alyta,ru,67.8,130.41,-44.06,-44.06,-44.06,0,32,2.37
saint-augustin,ca,45.63,-73.98,24.24,23,24.8,79,90,10.29
poum,nc,-20.23,164.02,77.94,77.94,77.94,100,44,11.99
mokhsogollokh,ru,61.4,128.95,-38.52,-38.52,-38.52,78,44,2.93
la ronge,ca,55.1,-105.3,21.2,21.2,21.2,92,90,11.41
melfi,td,11.06,17.94,62.19,62.19,62.19,37,8,4.94
baykit,ru,61.68,96.39,-40.5,-40.5,-40.5,85,20,3.27
roald,no,62.58,6.12,29.26,24.8,35.6,64,40,11.41
cotonou,bj,6.37,2.43,82.4,82.4,82.4,83,20,10.29
puerto escondido,mx,15.86,-97.07,82.4,82.4,82.4,58,75,5.82
san carlos del zulia,ve,9,-71.91,76.55,76.55,76.55,96,64,2.59
beberibe,br,-4.18,-38.13,80.6,80.6,80.6,83,40,8.05
okha,ru,53.59,142.95,4.32,4.32,4.32,89,76,11.65
jejuri,in,18.28,74.16,57.51,57.51,57.51,73,0,3.15
liaoyang,cn,41.27,123.17,15.8,15.8,15.8,61,0,2.24
nakamura,jp,35.17,136.87,48.2,48.2,48.2,61,0,23.04
mongo,td,12.18,18.69,54.77,54.77,54.77,59,20,4.16
harper,lr,4.38,-7.71,80.6,80.6,80.6,100,12,8.3
taveta,ke,-3.4,37.67,64.04,64.04,64.04,98,80,3.71
funadhoo,mv,6.15,73.27,81.14,81.14,81.14,100,0,7.07
slavutych,ua,51.52,30.76,20.8,20.8,20.8,84,76,2.93
acajutla,sv,13.59,-89.83,82.42,77,89.6,46,20,6.93
verkhnevilyuysk,ru,63.45,120.31,-39.96,-39.96,-39.96,87,44,4.05
mitsamiouli,km,-11.38,43.28,81.1,81.1,81.1,95,92,14.79
kinwat,in,19.62,78.2,49.77,49.77,49.77,70,0,3.38
puquio,pe,-14.69,-74.12,43.2,43.2,43.2,100,92,2.04
kurchum,kz,48.57,83.65,-13.63,-13.63,-13.63,61,32,2.59
salalah,om,17.01,54.1,69.8,69.8,69.8,30,0,8.05
saint-philippe,re,-21.36,55.77,78.8,78.8,78.8,83,75,33.33
prado,br,-17.34,-39.22,79.75,79.75,79.75,97,80,12.66
costa rica,br,-22.06,-56.51,78.17,78.17,78.17,88,36,2.82
amtala,in,22.37,88.29,53.6,53.6,53.6,81,0,5.82
drayton valley,ca,53.22,-114.98,35.56,35.56,35.56,66,64,7.96
esperance,au,-33.86,121.89,65.3,65.3,65.3,65,48,10.87
sundsvall,se,62.39,17.31,12.2,12.2,12.2,85,90,10.29
port blair,in,11.67,92.75,79.93,79.93,79.93,100,20,11.43
poso,id,-1.4,120.75,79.79,79.79,79.79,100,8,1.92
hithadhoo,mv,-0.6,73.08,83.07,83.07,83.07,100,0,10.76
guerrero negro,mx,27.97,-114.04,74.35,74.35,74.35,34,0,7.52
cherskiy,ru,68.75,161.3,-23.98,-23.98,-23.98,72,44,9.75
challapata,bo,-18.9,-66.78,45.5,45.5,45.5,75,44,2.48
half moon bay,us,37.46,-122.43,59.61,53.6,68,100,75,4.7
kieta,pg,-6.22,155.63,75.06,75.06,75.06,100,92,4.27
bilma,ne,18.69,12.92,51.17,51.17,51.17,81,0,2.93
boende,cd,-0.28,20.88,74.48,74.48,74.48,90,0,3.94
bethanien,na,-26.5,17.16,70.66,70.66,70.66,59,76,3.83
iracoubo,gf,5.48,-53.21,76.32,76.32,76.32,86,36,5.17
bowen,au,-20.01,148.25,80.6,80.6,80.6,57,56,13.87
igarka,ru,67.47,86.57,-47.61,-47.61,-47.61,0,8,3.38
vila velha,br,-3.71,-38.6,80.6,80.6,80.6,83,40,8.05
mahebourg,mu,-20.41,57.7,78.8,78.8,78.8,88,75,13.87
ostrovnoy,ru,68.05,39.51,12.7,12.7,12.7,89,36,10.65
bukene,tz,-4.23,32.89,60.08,60.08,60.08,98,88,3.04
yulara,au,-25.24,130.99,80.6,80.6,80.6,39,0,9.17
alyangula,au,-13.85,136.42,77.94,77.94,77.94,100,92,15.12
paamiut,gl,61.99,-49.67,17.1,17.1,17.1,100,8,9.42
palmeirais,br,-5.97,-43.06,78.08,78.08,78.08,76,48,2.82
dillon,us,45.22,-112.64,39.2,39.2,39.2,64,1,19.46
noormarkku,fi,61.59,21.87,19.4,19.4,19.4,92,80,4.7
churapcha,ru,62,132.43,-45.99,-45.99,-45.99,0,44,2.71
george,za,-33.96,22.46,71.6,71.6,71.6,94,100,2.24
srednekolymsk,ru,67.46,153.71,-24.21,-24.21,-24.21,73,68,5.39
cienfuegos,cu,22.15,-80.44,68.7,68,69.8,68,8,12.75
clyde river,ca,70.47,-68.59,-23.81,-23.81,-23.81,67,5,6.51
eyl,so,7.98,49.82,73.62,73.62,73.62,99,88,16.02
lompoc,us,34.64,-120.46,65.03,60.8,71.6,72,1,11.41
chiusi,it,43.02,11.95,44.6,44.6,44.6,81,40,2.24
abeokuta,ng,7.16,3.35,80.6,80.6,80.6,88,20,2.24
shellbrook,ca,53.22,-106.39,33.8,33.8,33.8,74,75,3.36
constitucion,mx,23.99,-104.67,69.8,69.8,69.8,12,20,21.92
manyana,bw,-24.78,25.59,80.6,80.6,80.6,34,75,9.17
cartagena,co,5.03,-75.64,74.41,73.4,75.2,73,40,4.7
macas,ec,-2.3,-78.12,64.35,64.35,64.35,96,88,2.71
touba,ci,8.28,-7.68,68.05,68.05,68.05,65,0,2.93
sao filipe,cv,14.9,-24.5,70.97,70.97,70.97,96,36,19.04
kirkwall,gb,58.98,-2.96,34.36,32,37.4,86,40,11.41
ornskoldsvik,se,63.29,18.72,12.67,8.6,17.6,100,92,4.7
berlevag,no,70.86,29.09,23.56,23,24.8,73,0,12.75
awjilah,ly,29.14,21.3,42.17,42.17,42.17,74,0,3.71
ust-kut,ru,56.78,105.75,-31.18,-31.18,-31.18,50,0,2.37
mlalo,tz,-4.58,38.35,65.52,65.52,65.52,97,68,2.15
astaneh-ye ashrafiyeh,ir,37.26,49.94,64.4,64.4,64.4,20,0,9.17
nome,us,30.04,-94.42,40.08,39.2,41,38,90,3.36
pathein,mm,16.78,94.73,61.52,61.52,61.52,88,0,4.16
coquimbo,cl,-29.95,-71.34,66.2,66.2,66.2,72,40,10.29
dharchula,in,29.85,80.53,22.73,22.73,22.73,48,0,2.04
alta floresta,br,-9.87,-56.08,77.05,77.05,77.05,89,0,0.92
san cristobal,ec,-1.02,-79.44,61.79,61.79,61.79,100,80,1.59
kapuskasing,ca,49.42,-82.43,14,14,14,85,90,4.7
shakawe,bw,-18.36,21.84,69.31,69.31,69.31,71,0,4.16
los llanos de aridane,es,28.66,-17.92,64.4,64.4,64.4,63,36,16.11
uvira,cd,-3.41,29.14,61.02,61.02,61.02,100,80,4.16
hofn,is,64.25,-15.21,31.37,31.37,31.37,100,56,13.22
sinnamary,gf,5.38,-52.96,77.18,77.18,77.18,100,88,8.19
brae,gb,60.4,-1.35,36.86,33.8,39.2,86,8,4.7
ankang,cn,32.73,108.99,30.42,30.42,30.42,91,80,1.92
chapais,ca,49.78,-74.86,5,5,5,71,90,3.36
salina cruz,mx,16.18,-95.2,73.22,73.22,73.22,52,32,18.7
ust-kuyga,ru,70,135.55,-45.54,-45.54,-45.54,0,48,4.27
xinmin,cn,42,122.83,15.8,15.8,15.8,61,0,2.24
mukhen,ru,48.19,136.14,-4.32,-4.32,-4.32,78,0,3.38
kruisfontein,za,-34,24.73,70.66,70.66,70.66,93,92,2.48
kautokeino,no,69.01,23.04,10.9,10.9,10.9,87,76,4.38
muddebihal,in,16.33,76.13,59.54,59.54,59.54,78,0,5.06
malanje,ao,-9.54,16.35,64.04,64.04,64.04,97,92,4.72
bend,us,44.06,-121.32,42.8,42.8,42.8,75,75,5.82
kenai,us,60.55,-151.26,22.05,19.4,24.8,100,75,3.49
gizo,sb,-8.1,156.84,80.78,80.78,80.78,100,56,3.15
gemena,cd,3.25,19.78,70.93,70.93,70.93,68,0,2.82
qaqortoq,gl,60.72,-46.03,1.4,1.4,1.4,54,20,6.93
puerto narino,co,-3.77,-70.38,80.6,80.6,80.6,78,75,10.29
oktyabrskoye,ru,56.73,85.44,-23.85,-23.85,-23.85,72,0,2.59
georgetown,sh,-7.93,-14.42,77.09,77.09,77.09,100,92,10.2
coihaique,cl,-45.58,-72.07,56.19,55.4,57.2,82,75,5.82
teya,ru,60.37,92.63,-40.23,-40.23,-40.23,86,12,2.37
venezuela,cu,21.74,-78.8,70.2,70.2,70.2,86,44,17.81
marrakesh,ma,31.63,-7.99,50,50,50,87,40,3.6
tasiilaq,gl,65.61,-37.64,26.6,26.6,26.6,63,88,1.12
kisangani,cd,0.52,25.21,72.45,72.45,72.45,88,76,3.6
sibolga,id,1.74,98.78,66.65,66.65,66.65,100,20,2.15
monrovia,lr,6.33,-10.8,77,77,77,88,20,5.95
pindiga,ng,9.98,10.93,57.74,57.74,57.74,48,0,5.06
loanda,br,-22.93,-53.14,76.06,76.06,76.06,95,24,3.6
hornepayne,ca,49.22,-84.78,15.57,15.57,15.57,82,80,4.16
kavieng,pg,-2.57,150.8,83.35,83.35,83.35,100,12,7.29
grand-santi,gf,4.27,-54.38,75.25,75.25,75.25,89,56,2.15
iqaluit,ca,63.75,-68.52,-27.41,-27.41,-27.41,67,75,6.06
haradok,by,55.46,29.99,22.1,22.1,22.1,90,44,8.63
edson,ca,53.59,-116.44,44.6,44.6,44.6,33,1,14.99
njombe,tz,-9.34,34.77,61.11,61.11,61.11,98,92,2.82
nanortalik,gl,60.14,-45.24,18.36,18.36,18.36,100,20,7.63
bahia honda,cu,22.9,-83.16,62.78,62.78,62.78,64,56,11.1
preobrazheniye,ru,42.9,133.91,-1.53,-1.53,-1.53,67,0,1.59
sao miguel do araguaia,br,-13.28,-50.16,77,77,77,81,0,3.15
prachuap khiri khan,th,11.81,99.79,69.98,69.98,69.98,82,0,1.7
longyan,cn,25.1,117.03,54.27,54.27,54.27,99,64,2.37
palmas,br,-10.18,-48.33,87.8,87.8,87.8,43,20,3.36
kaitangata,nz,-46.28,169.85,70.56,70.56,70.56,82,20,5.5
lagoa,pt,37.14,-8.45,53.6,53.6,53.6,81,0,8.05
rundu,na,-17.91,19.77,73.4,73.4,73.4,60,0,1.12
campbell river,ca,50.02,-125.24,43.39,42.8,44.6,93,90,16.11
louros,gr,39.17,20.76,39.2,39.2,39.2,80,20,6.4
bonthe,sl,7.53,-12.5,79.02,79.02,79.02,80,0,4.5
mobaye,cf,4.33,21.18,68.99,68.99,68.99,72,0,3.6
ahipara,nz,-35.17,173.16,71.6,71.6,71.6,91,92,3.94
aden,ye,12.79,45.03,75.6,75.6,75.6,100,20,19.48
portland,au,-33.35,149.98,78.66,78.66,78.66,56,0,2.82
qasigiannguit,gl,68.82,-51.19,3.2,3.2,3.2,45,20,8.05
sambava,mg,-14.27,50.17,78.98,78.98,78.98,100,8,2.04
ibotirama,br,-12.18,-43.22,81.55,81.55,81.55,40,8,10.76
borgarnes,is,64.54,-21.92,21.2,21.2,21.2,62,0,4.7
kosonsoy,uz,41.25,71.55,32,32,32,75,75,4.7
saint-joseph,re,-21.37,55.62,78.8,78.8,78.8,83,75,33.33
leh,in,34.16,77.58,-2.16,-2.16,-2.16,71,44,0.92
nishihara,jp,35.74,139.53,42.87,39.2,46.4,64,1,4.7
awbari,ly,26.59,12.77,40.55,40.55,40.55,52,12,6.06
batemans bay,au,-35.71,150.18,82.26,82.26,82.26,67,0,1.81
aksu,kz,52.04,76.93,-2.21,-2.21,-2.21,91,90,3.15
loudeac,fr,48.18,-2.75,42.8,42.8,42.8,87,0,8.05
redcar,gb,54.62,-1.06,32.68,28.4,35.6,100,20,16.11
lorengau,pg,-2.02,147.27,83.8,83.8,83.8,100,64,7.07
cairns,au,-16.92,145.77,78.8,78.8,78.8,83,75,11.41
alofi,nu,-19.06,-169.92,77,77,77,100,75,5.82
kenora,ca,49.76,-94.48,24.93,23,26.6,67,75,10.29
provideniya,ru,64.42,-173.23,1.4,1.4,1.4,54,0,6.96
lasem,id,-6.99,112.52,75.2,75.2,75.2,94,20,5.82
gazli,uz,40.13,63.45,21.92,21.92,21.92,80,0,4.61
longkou,cn,37.64,120.47,32.85,32.85,32.85,94,0,17.02
shihezi,cn,44.3,86.03,-10.08,-10.08,-10.08,68,36,2.71
jalingo,ng,9.93,13.08,50.9,50.9,50.9,63,8,3.49
northam,au,-31.65,116.67,60.8,60.8,60.8,72,0,14.99
mecca,sa,21.43,39.83,69.8,69.8,69.8,68,0,2.93
tiznit,ma,29.7,-9.73,56.97,56.97,56.97,94,92,5.28
vao,nc,-22.67,167.48,74.35,74.35,74.35,100,76,3.6
fez,ma,34.03,-5.02,48.2,48.2,48.2,81,75,3.36
daloa,ci,6.88,-6.45,74.03,74.03,74.03,89,8,4.72
naryan-mar,ru,67.67,53.09,9.1,9.1,9.1,87,56,16.02
hulan ergi,cn,47.2,123.63,-12.92,-12.92,-12.92,60,0,2.93
roebourne,au,-20.77,117.15,80.37,80.37,80.37,89,32,4.16
le port,re,-20.94,55.29,78.8,78.8,78.8,94,92,27.51
burnie,au,-41.05,145.91,69.8,69.8,69.8,83,0,8.63
falam,mm,22.91,93.68,45.32,45.32,45.32,92,32,0.69
ndjole,ga,-0.18,10.76,72.36,72.36,72.36,96,20,2.71
fortuna,us,40.6,-124.16,50.2,48.2,51.8,100,75,4.7
sattahip,th,12.67,100.9,73.4,73.4,73.4,78,20,4.7
churachandpur,in,24.33,93.67,48.51,48.51,48.51,87,0,2.15
yenagoa,ng,4.92,6.26,74.75,74.75,74.75,90,0,8.41
ayapel,co,8.31,-75.14,78.12,78.12,78.12,87,44,2.15
port maria,jm,18.37,-76.89,82.4,82.4,82.4,69,20,4.7
san luis,ar,-33.3,-66.34,79.3,79.3,79.3,43,88,2.59
byron bay,au,-28.65,153.62,75.2,75.2,75.2,53,0,8.05
fereydun kenar,ir,36.69,52.52,42.8,42.8,42.8,93,0,6.93
medford,us,42.33,-122.87,41.2,35.6,48.2,81,90,10.29
vanavara,ru,60.35,102.28,-36.32,-36.32,-36.32,69,32,3.6
ken caryl,us,39.58,-105.11,59.41,41,64.4,22,1,10.29
tay ninh,vn,11.3,106.1,74.16,74.16,74.16,95,80,4.38
tatarsk,ru,55.22,75.96,9.45,9.45,9.45,85,88,1.59
puerto madero,mx,14.72,-92.42,86,86,86,51,40,9.17
pevek,ru,69.7,170.27,-29.57,-29.57,-29.57,97,20,14
aloleng,ph,16.13,119.78,78.12,78.12,78.12,97,68,6.85
kuzino,ru,57.02,59.44,0.19,0.19,0.19,73,44,2.71
yangambi,cd,0.77,24.47,75.2,75.2,75.2,80,68,2.82
eenhana,na,-17.48,16.34,66.2,66.2,66.2,86,44,2.71
sao geraldo do araguaia,br,-6.4,-48.55,75.96,75.96,75.96,93,56,3.38
umm lajj,sa,25.02,37.27,56.7,56.7,56.7,100,0,5.73
menongue,ao,-14.66,17.68,61.43,61.43,61.43,99,88,2.71
pitimbu,br,-7.47,-34.81,77,77,77,88,75,3.36
adeje,es,28.12,-16.73,60.06,53.6,64.4,68,75,2.24
lazaro cardenas,mx,28.39,-105.62,57.2,57.2,57.2,30,5,4.7
valparaiso,cl,-33.04,-71.63,64.31,62.6,66.2,72,0,8.05
hasaki,jp,35.73,140.83,34.45,30.2,39.2,100,20,9.17
colares,pt,38.8,-9.45,52.83,51.8,53.6,87,20,9.17
torbay,ca,47.66,-52.73,37.4,37.4,37.4,93,75,23.04
baherden,tm,38.44,57.43,28.67,28.67,28.67,65,0,4.38
ancud,cl,-41.87,-73.83,62.42,62.42,62.42,66,12,5.39
keti bandar,pk,24.14,67.45,66.92,66.92,66.92,100,0,14.45
najran,sa,17.54,44.22,53.6,53.6,53.6,32,0,2.37
maceio,br,-9.67,-35.74,80.6,80.6,80.6,74,0,9.17
alekseyevskoye,ru,45.2,43.58,23.31,23.31,23.31,93,88,10.65
morant bay,jm,17.88,-76.41,82.4,82.4,82.4,69,20,4.7
beau vallon,mu,-20.42,57.7,78.8,78.8,78.8,88,75,13.87
sechura,pe,-5.56,-80.82,75.83,75.83,75.83,69,36,11.88
shaki,ng,7.9,4.77,72.05,72.05,72.05,74,20,3.71
camara de lobos,pt,32.63,-16.97,60.8,60.8,60.8,67,20,6.93
singaraja,id,-8.11,115.08,80.6,80.6,80.6,83,40,17.22
balabac,ph,7.99,117.06,79.43,79.43,79.43,100,32,13.33
camacha,pt,33.08,-16.33,60.8,60.8,60.8,67,40,19.46
hudson bay,ca,52.86,-102.4,28.45,28.45,28.45,92,0,5.73
kijini,tz,-5.85,39.32,78.8,78.8,78.8,94,20,5.82
